student_id,mean_attendance,std_attendance,mean_assignment,std_assignment,mean_midterm,std_midterm,mean_final,std_final,mean_gpa,std_gpa,gpa_range,mean_study_hours,std_study_hours,max_gpa_drop,attendance_score_corr,avg_extracurricular,has_part_time,inconsistency_label
STU20200001,72.0,17.68,80.25,14.93,60.12,24.37,41.8,5.89,2.31,0.26,0.77,17.02,5.04,0.61,0.65,2.83,1,1
STU20200002,45.18,12.32,81.23,14.82,90.75,7.16,59.4,11.86,3.03,0.27,0.65,26.02,5.89,0.63,0.78,1.83,1,1
STU20210003,72.72,3.53,67.55,2.11,64.07,4.71,65.33,3.7,2.62,0.07,0.2,12.28,1.43,0.07,-0.1,2.5,1,0
STU20200004,59.6,2.8,83.05,3.98,83.93,3.23,79.3,7.71,3.27,0.11,0.32,15.97,1.2,0.2,-0.06,1.33,1,0
STU20200005,88.0,1.99,81.15,5.14,78.52,3.62,79.35,5.11,3.18,0.15,0.47,19.2,1.52,0.22,0.29,2.33,1,0
STU20210006,63.3,3.67,80.87,4.8,84.25,6.85,79.93,4.72,3.27,0.1,0.28,11.55,2.56,0.27,-0.61,1.17,0,0
STU20200007,77.08,11.14,62.63,15.89,65.75,27.31,74.42,23.03,2.74,0.56,1.7,17.92,4.7,0.89,0.13,1.83,1,1
STU20230008,79.25,3.27,77.22,4.69,76.32,4.03,72.52,4.24,3.0,0.1,0.27,9.98,1.84,0.05,-0.28,2.17,1,0
STU20230009,80.05,2.94,89.32,3.56,86.0,5.7,92.3,4.02,3.57,0.13,0.38,22.75,1.35,0.07,0.42,2.0,1,0
STU20210010,75.18,3.34,68.73,3.74,75.07,4.1,68.93,5.0,2.84,0.13,0.37,13.8,1.26,0.21,0.82,2.67,1,0
STU20210011,81.12,2.34,85.72,4.4,82.78,3.76,83.33,7.46,3.35,0.16,0.44,12.82,1.34,0.21,-0.56,2.17,1,0
STU20200012,84.17,3.52,75.05,3.14,75.17,2.62,73.45,4.49,2.98,0.09,0.22,13.58,2.05,0.1,-0.16,2.83,1,0
STU20220013,92.08,4.76,70.1,3.37,73.25,7.46,67.85,4.19,2.81,0.08,0.23,14.75,1.28,0.1,0.52,2.33,0,0
STU20230014,90.68,10.85,82.6,19.67,74.68,22.16,75.98,18.98,3.09,0.19,0.57,17.58,9.5,0.56,0.75,1.83,1,1
STU20230015,91.25,8.22,76.55,19.4,91.4,12.12,92.37,14.67,3.52,0.26,0.83,25.03,8.84,0.68,-0.25,2.67,0,1
STU20220016,54.52,12.9,84.38,16.69,73.77,25.47,74.47,22.66,3.07,0.62,1.71,6.82,4.76,1.49,0.18,2.5,1,1
STU20230017,91.5,9.44,94.78,6.31,94.58,7.71,91.57,8.46,3.74,0.2,0.57,14.65,10.43,0.3,-0.17,2.83,1,1
STU20200018,76.38,3.07,81.65,3.26,81.75,3.7,82.8,4.48,3.29,0.11,0.31,14.52,1.59,0.11,0.23,3.17,1,0
STU20200019,57.05,15.0,70.1,16.4,62.32,25.71,79.58,20.95,2.85,0.6,1.5,6.32,4.8,1.5,0.02,2.67,0,1
STU20200020,82.3,4.56,69.98,3.68,73.55,3.76,69.03,2.43,2.83,0.05,0.13,18.87,1.85,0.1,0.5,2.33,1,0
STU20210021,80.32,15.11,84.72,15.29,64.98,24.46,67.47,25.94,2.84,0.77,2.45,12.3,8.78,0.84,0.31,2.67,0,1
STU20210022,88.02,2.18,90.48,3.25,92.92,6.68,93.87,3.57,3.71,0.07,0.2,19.15,1.96,0.12,-0.29,3.17,1,0
STU20230023,72.8,3.95,77.47,4.15,80.9,7.21,78.17,4.53,3.16,0.15,0.5,16.92,1.62,0.33,-0.08,1.17,1,0
STU20200024,66.4,2.57,61.35,3.63,61.3,1.94,59.73,3.3,2.43,0.09,0.28,12.82,1.67,0.09,-0.22,2.83,1,0
STU20230025,69.67,14.61,63.17,25.4,75.52,18.63,86.03,22.42,3.06,0.47,1.39,8.38,7.51,0.49,0.67,1.5,1,1
STU20230026,84.63,1.52,95.92,3.08,98.97,1.81,98.43,1.63,3.92,0.06,0.15,17.1,1.32,0.15,0.07,2.83,1,0
STU20230027,94.72,2.99,99.27,1.47,99.6,0.89,98.88,2.5,3.97,0.05,0.15,12.83,1.48,0.03,0.8,3.67,1,0
STU20220028,79.25,2.81,76.07,5.11,77.85,2.69,78.5,2.87,3.1,0.05,0.14,10.85,1.91,0.09,-0.16,2.0,1,0
